"",""
"Action","Action"
"Add Blog","Add Blog"
"Add Employee","Add Employee"
"Add New Employee Attribute","Add New Employee Attribute"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while updating the blog.","An error occurred while updating the blog."
"An error occurred while updating the employee.","An error occurred while updating the employee."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"Blog Comment","Blog Comment"
"Blog Comments","Blog Comments"
"Blog Titile","Blog Titile"
"Blog comment","Blog comment"
"Blog content","Blog content"
"Blog was saved","Blog was saved"
"Blog was successfully deleted.","Blog was successfully deleted."
"Blog was successfully saved","Blog was successfully saved"
"Blog","Blog"
"CSV","CSV"
"Change status","Change status"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Could not find blog to delete.","Could not find blog to delete."
"Could not find comment to delete.","Could not find comment to delete."
"Could not find employee to delete.","Could not find employee to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Date of Birth","Date of Birth"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete Blog comment","Delete Blog comment"
"Delete Blog","Delete Blog"
"Delete Employee Attribute","Delete Employee Attribute"
"Delete Employee","Delete Employee"
"Delete File","Delete File"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Blog '%s'","Edit Blog '%s'"
"Edit Blog comment '%s'","Edit Blog comment '%s'"
"Edit Employee '%s'","Edit Employee '%s'"
"Edit Employee Attribute ""%s""","Edit Employee Attribute ""%s"""
"Edit Employee Attribute","Edit Employee Attribute"
"Edit","Edit"
"Employee Information","Employee Information"
"Employee was saved","Employee was saved"
"Employee was successfully deleted.","Employee was successfully deleted."
"Employee was successfully saved","Employee was successfully saved"
"Employee","Employee"
"Enable WYSIWYG","Enable WYSIWYG"
"Enabled","Enabled"
"Error saving blog","Error saving blog"
"Error saving employee","Error saving employee"
"Excel","Excel"
"File","File"
"First Name","First Name"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"Id","Id"
"Image","Image"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Manage Attributes","Manage Attributes"
"Manage Employee Attributes","Manage Employee Attributes"
"Manage Label / Options","Manage Label / Options"
"Meta description for blog list page","Meta description for blog list page"
"Meta information","Meta information"
"Meta keywords for blog list page","Meta keywords for blog list page"
"Meta title for blog list page","Meta title for blog list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"Middle Name","Middle Name"
"My Blog Comments","My Blog Comments"
"My Blog comment view","My Blog comment view"
"New Employee Attribute","New Employee Attribute"
"No","No"
"None","None"
"Note","Note"
"On %s you wrote:","On %s you wrote:"
"Pending","Pending"
"Please select blog to delete.","Please select blog to delete."
"Please select blog.","Please select blog."
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select employee to delete.","Please select employee to delete."
"Please select employee.","Please select employee."
"Position in the admin form","Position in the admin form"
"Position","Position"
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
